Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter
uspF	[uspF 1,435,185 &larr; 1,435,641]	-	uspFp	[uspFp 1,435,641]
yfbR	[yfbR 2,408,831 &rarr; 2,409,461]	+	yfbRp3	[yfbRp3 2,408,831]
acrR	[acrR 485,699 &rarr; 486,408]	+	acrRp	[acrRp 485,699]
yafL	[yafL 246,712 &rarr; 247,461]	+		
yibJ	[yibJ 3,767,221 &rarr; 3,767,922]	+		
yfbU-hxpA	[yfbU-hxpA 2,411,439 &larr; 2,412,594]	-	yfbUp	[yfbUp 2,412,594]
dnaAN-recF	[dnaAN-recF 3,880,148 &larr; 3,883,961]	-	dnaAp1	[dnaAp1 3,883,961]
rplY terminator // rplVp // rplY	[TU0-13557 2,282,440 &rarr; 2,282,836]	+	rplVp	[rplVp 2,282,440]
pdxH-tyrS-pdxY	[pdxH-tyrS-pdxY 1,715,026 &larr; 1,718,034]	-	pdxHp	[pdxHp 1,718,034]
pyrSR-ypdC	[pyrSR-ypdC 2,498,671 &rarr; 2,501,987]	+		
pykF	[pykF 1,755,600 &rarr; 1,757,110]	+	pykFp2	[pykFp2 1,755,600]
queC	[queC 464,852 &larr; 465,547]	-		
aegA	[aegA 2,583,546 &larr; 2,585,525]	-		
ubiF	[ubiF 695,101 &rarr; 696,276]	+		
yjiV	[yjiV 4,574,135 &rarr; 4,576,855]	+		
ymdAB-clsC	[ymdAB-clsC 1,105,201 &rarr; 1,107,776]	+	ymdAp	[ymdAp 1,105,201]
yegRZ	[yegRZ 2,167,602 &larr; 2,168,349]	-	yegRp	[yegRp 2,168,349]
kduI	[kduI 2,983,288 &larr; 2,984,124]	-		
nudF-yqiB-cpdA-yqiA-parE	[nudF-yqiB-cpdA-yqiA-parE 3,173,504 &larr; 3,177,910]	-		
lgoT	[lgoT 4,593,361 &larr; 4,594,722]	-		
uvrA	[uvrA 4,271,007 &larr; 4,273,936]	-	uvrAp	[uvrAp 4,273,936]
ppk-ppx	[ppk-ppx 2,622,977 &rarr; 2,626,656]	+	ppkp	[ppkp 2,622,977]
ampH	[ampH 395,130 &larr; 396,319]	-	ampHp2	[ampHp2 396,319]
yheO-tusDCB	[yheO-tusDCB 3,474,678 &larr; 3,476,541]	-	yheOp2	[yheOp2 3,476,541]
yiaG	[yiaG 3,719,431 &rarr; 3,719,768]	+	yiaGp	[yiaGp 3,719,431]
mscS	[mscS 3,068,947 &larr; 3,069,871]	-	mscSp	[mscSp 3,069,871]
dinG-ybiB	[dinG-ybiB 833,045 &rarr; 836,210]	+	dinGp	[dinGp 833,073]
pyrH	[pyrH 191,812 &rarr; 192,580]	+	pyrHp	[pyrHp 191,812]
ddpXABCDF	[ddpXABCDF 1,557,112 &larr; 1,563,201]	-	ddpXp2	[ddpXp2 1,563,201]
yghG	[yghG 3,113,067 &larr; 3,113,477]	-		
lrp	[lrp 932,272 &rarr; 933,089]	+	lrpp	[lrpp 932,328]
luxS	[luxS 2,814,218 &larr; 2,814,816]	-	luxSp2	[luxSp2 2,814,816]
dnaKJ	[dnaKJ 12,123 &rarr; 15,298]	+	dnaKp2	[dnaKp2 12,123]
pdeN	[pdeN 2,270,726 &rarr; 2,272,282]	+		
kup	[kup 3,931,181 &rarr; 3,933,184]	+	kupp2	[kupp2 3,931,181]
yicN	[yicN 3,841,950 &larr; 3,842,402]	-		
rpoE-rseABC	[rpoE-rseABC 2,707,322 &larr; 2,710,393]	-	rpoEp1b	[rpoEp1b 2,710,393]
yhfA	[yhfA 3,485,414 &larr; 3,485,951]	-	yhfAp	[yhfAp 3,485,951]
fldB	[fldB 3,039,773 &rarr; 3,040,376]	+	fldBp	[fldBp 3,039,822]
rnlA	[rnlA 2,765,906 &rarr; 2,766,991]	+	rnlAp1	[rnlAp1 2,765,906]
gltP	[gltP 4,294,481 &rarr; 4,295,794]	+		
rlmG	[rlmG 3,234,739 &larr; 3,235,875]	-		
yciZT	[yciZT 1,343,597 &larr; 1,344,638]	-	yciZp	[yciZp 1,344,638]
frdABCD	[frdABCD 4,378,966 &larr; 4,382,412]	-	frdAp2	[frdAp2 4,382,412]
yfbS	[yfbS 2,409,520 &larr; 2,411,352]	-		
cfa	[cfa 1,741,201 &rarr; 1,742,561]	+	cfap1	[cfap1 1,741,201]
allR	[allR 532,981 &rarr; 533,826]	+	allRp	[allRp NIL &rarr; NIL]
folX-yfcH	[folX-yfcH 2,421,295 &rarr; 2,422,601]	+	folXp	[folXp NIL &rarr; NIL]
yhdWXYZ	[yhdWXYZ 3,418,846 &rarr; 3,423,194]	+	yhdWp	[yhdWp 3,418,972]
pdeK	[pdeK 3,683,630 &larr; 3,685,618]	-		
prkB	[prkB 3,484,311 &rarr; 3,485,359]	+	prkBp	[prkBp 3,484,311]
csrA	[csrA 2,818,961 &larr; 2,819,189]	-	csrAp5	[csrAp5 2,819,189]
tdcR	[tdcR 3,267,380 &rarr; 3,267,598]	+		
ycgM	[ycgM 1,228,079 &rarr; 1,228,738]	+		
uacT	[uacT 3,031,367 &rarr; 3,032,815]	+		
plsB	[plsB 4,254,043 &larr; 4,256,502]	-	plsBp2	[plsBp2 4,256,502]
dsbA	[dsbA 4,043,377 &rarr; 4,044,044]	+	dsbAp	[dsbAp 4,043,377]
prs	[prs 1,260,895 &larr; 1,262,177]	-	prsp	[prsp 1,262,177]
rlmA	[rlmA 1,906,251 &larr; 1,907,060]	-		
ybfA	[ybfA 729,134 &rarr; 729,340]	+		
yihI	[yihI 4,051,308 &rarr; 4,051,856]	+	yihIp	[yihIp 4,051,308]
amiA-hemF	[amiA-hemF 2,552,241 &rarr; 2,554,124]	+	amiAp	[amiAp 2,552,241]
treR	[treR 4,466,284 &larr; 4,467,271]	-	treRp1	[treRp1 4,467,271]
xapAB	[xapAB 2,522,698 &larr; 2,524,910]	-	xapAp2	[xapAp2 2,524,910]
treBC	[treBC 4,463,054 &larr; 4,466,210]	-	treBp	[treBp 4,466,210]
xerD	[xerD 3,038,847 &larr; 3,039,743]	-		
yneL	[yneL 1,590,334 &larr; 1,590,536]	-		
patA	[patA 3,219,202 &rarr; 3,220,873]	+	patAp	[patAp 3,219,458]
gltX	[gltX 2,519,208 &larr; 2,520,776]	-	gltXp2	[gltXp2 2,520,776]
feoABC	[feoABC 3,539,966 &rarr; 3,542,964]	+	feoAp	[feoAp 3,540,057]
smf	[smf 3,432,436 &larr; 3,433,686]	-	smfp	[smfp 3,433,686]
ydjF	[ydjF 1,854,096 &larr; 1,854,854]	-		
yadN	[yadN 156,299 &larr; 156,883]	-		
yciE	[yciE 1,314,668 &larr; 1,315,396]	-	yciEp	[yciEp 1,315,396]
ymbA	[ymbA 1,014,896 &rarr; 1,015,459]	+		
gsk	[gsk 500,015 &rarr; 501,429]	+	gskp	[gskp 500,015]
argE	[argE 4,153,696 &larr; 4,154,897]	-	argEp1	[argEp1 4,154,897]
rfaDFCL	[rfaDFCL 3,793,896 &rarr; 3,798,207]	+	rfaDp2	[rfaDp2 3,793,896]
purL	[purL 2,691,656 &larr; 2,695,589]	-	purLp	[purLp 2,695,589]
chaBC	[chaBC 1,272,119 &rarr; 1,273,202]	+		
yhjA	[yhjA 3,667,791 &larr; 3,669,261]	-	yhjAp	[yhjAp 3,669,261]
csiE	[csiE 2,665,358 &rarr; 2,666,715]	+	csiEp	[csiEp 2,665,401]
hemA	[hemA 1,263,583 &rarr; 1,264,970]	+	hemAp2	[hemAp2 1,263,583]
tsgA	[tsgA 3,492,519 &rarr; 3,493,749]	+	tsgAp	[tsgAp 3,492,519]
yeaVW	[yeaVW 1,883,188 &rarr; 1,885,789]	+		
gfcA	[gfcA 1,049,439 &larr; 1,050,702]	-	gfcAp	[gfcAp 1,050,702]
cysB	[cysB 1,333,774 &rarr; 1,334,874]	+	cysBp	[cysBp 1,333,788]
nimT	[nimT 1,875,657 &rarr; 1,876,854]	+	nimTp	[nimTp 1,875,657]
yadMLKC	[yadMLKC 149,715 &larr; 152,812]	-		
ynfA	[ynfA 1,655,347 &larr; 1,655,673]	-		
yjcH-actP	[yjcH-actP 4,283,253 &larr; 4,285,213]	-		
pppA	[pppA 3,113,543 &larr; 3,114,352]	-		
atoSC	[atoSC 2,320,043 &rarr; 2,323,251]	+		
hfq-hflXKC	[hfq-hflXKC 4,400,220 &rarr; 4,404,304]	+	hfqp3	[hfqp3 4,400,220]
fur	[fur 710,118 &larr; 710,716]	-	furpa	[furpa 710,716]
ispB	[ispB 3,333,710 &rarr; 3,334,681]	+		
cysPUWAM	[cysPUWAM 2,538,672 &larr; 2,543,557]	-	cysPp	[cysPp 2,543,557]
yaeH	[yaeH 183,709 &larr; 184,095]	-		
rimK-ybjN	[rimK-ybjN 891,876 &rarr; 893,433]	+	rimKp	[rimKp 891,876]
bssS	[bssS 1,120,701 &larr; 1,121,020]	-	bssSp	[bssSp 1,121,020]
ydeN	[ydeN 1,580,842 &larr; 1,582,524]	-		
yagJ	[yagJ 291,500 &rarr; 292,231]	+		
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	[ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 91,012 &rarr; 107,474]	+	ftsLp2	[ftsLp2 91,012]
infC	[infC 1,800,035 &larr; 1,801,346]	-	infCp1	[infCp1 1,801,346]
sdhE-ygfX	[sdhE-ygfX 3,040,416 &larr; 3,041,099]	-	sdhEp	[sdhEp 3,041,099]
emtA	[emtA 1,243,180 &rarr; 1,243,791]	+		
malT	[malT 3,552,953 &rarr; 3,555,820]	+	malTp	[malTp 3,553,024]
yeiE	[yeiE 2,248,737 &larr; 2,249,618]	-		
ligT	[ligT 161,501 &larr; 162,031]	-		
ybcY	[ybcY 582,152 &larr; 582,806]	-		
carAB	[carAB 29,246 &rarr; 34,120]	+	carAp1	[carAp1 29,551]
arcB	[arcB 3,350,689 &larr; 3,353,049]	-	arcBp	[arcBp 3,353,049]
rydB	[rydB 1,764,713 &larr; 1,764,780]	-		
yihUTS	[yihUTS 4,070,515 &larr; 4,073,596]	-	yihUp2	[yihUp2 4,073,596]
ydcO	[ydcO 1,504,905 &larr; 1,506,080]	-		
ptsHI-crr	[ptsHI-crr 2,533,507 &rarr; 2,536,380]	+	ptsHp3	[ptsHp3 2,533,507]
treA	[treA 1,245,679 &larr; 1,247,425]	-	treAp	[treAp 1,247,425]
glxK	[glxK 541,858 &rarr; 543,033]	+	glxKp	[glxKp NIL &rarr; NIL]
qorB	[qorB 4,433,164 &larr; 4,434,024]	-		
yeiI	[yeiI 2,251,700 &rarr; 2,252,788]	+		
ilvIH	[ilvIH 85,348 &rarr; 87,848]	+	ilvIHp1	[ilvIHp1 85,600]
yhfL	[yhfL 3,499,448 &rarr; 3,499,615]	+		
yqhD-dkgA	[yqhD-dkgA 3,155,302 &rarr; 3,157,450]	+	yqhDp	[yqhDp 3,155,302]
dnaQ	[dnaQ 235,934 &rarr; 236,798]	+	dnaQp1	[dnaQp1 235,934]
gspAB	[gspAB 3,453,508 &larr; 3,455,634]	-	gspAp4	[gspAp4 3,455,634]
recET-ralR-rcbA-xisR-intR	[recET-ralR-rcbA-xisR-intR 1,412,000 &larr; 1,417,386]	-		
dolP	[dolP 3,296,072 &rarr; 3,296,984]	+	dolPp2	[dolPp2 3,296,072]
bipA	[bipA 4,058,407 &rarr; 4,060,230]	+		
ymdB-clsC	[ymdB-clsC 1,105,803 &rarr; 1,107,776]	+	ymdBp	[ymdBp 1,105,803]
ves	[ves 1,824,362 &larr; 1,824,984]	-	vesp	[vesp 1,824,984]
nhaAR	[nhaAR 17,414 &rarr; 19,620]	+	nhaAp1	[nhaAp1 17,458]
fkpA	[fkpA 3,476,607 &larr; 3,477,499]	-	fkpAp2	[fkpAp2 3,477,499]
ybbAP	[ybbAP 519,733 &rarr; 522,830]	+		
lysU	[lysU 4,353,200 &larr; 4,354,805]	-	lysUp1	[lysUp1 4,354,805]
yjeI	[yjeI 4,372,761 &rarr; 4,373,162]	+	yjeIp	[yjeIp 4,372,761]
rne	[rne 1,141,182 &larr; 1,144,762]	-	rnep2	[rnep2 1,144,762]
wbbIJK	[wbbIJK 2,103,391 &larr; 2,106,057]	-		
yicR-rpmBG	[yicR-rpmBG 3,811,209 &larr; 3,812,577]	-	yicRp	[yicRp 3,812,577]
ymgGD	[ymgGD 1,222,305 &larr; 1,222,988]	-		
ycgB	[ycgB 1,235,709 &larr; 1,237,285]	-	ycgBp	[ycgBp 1,237,285]
yfdC	[yfdC 2,465,301 &rarr; 2,466,233]	+		
ychO	[ychO 1,273,760 &rarr; 1,275,178]	+	ychOp	[ychOp 1,273,760]
accA	[accA 208,326 &rarr; 209,580]	+	accAp2	[accAp2 208,326]
rhlB	[rhlB 3,964,365 &larr; 3,965,630]	-		
dinD	[dinD 3,817,699 &rarr; 3,818,584]	+	dinDp	[dinDp 3,817,699]
ybhQ	[ybhQ 824,601 &rarr; 825,040]	+	ybhQp	[ybhQp 824,601]
yejO	[yejO 2,286,390 &larr; 2,290,180]	-	yejOp	[yejOp 2,289,176]
hchA	[hchA 2,035,780 &rarr; 2,036,686]	+	hchAp1	[hchAp1 2,035,780]
frwD	[frwD 4,147,138 &rarr; 4,147,479]	+		
rdlC	[rdlC 1,270,393 &rarr; 1,270,460]	+		
yeeJ	[yeeJ 2,044,938 &rarr; 2,052,014]	+		
menFD-yfbB-menBCE	[menFD-yfbB-menBCE 2,373,648 &larr; 2,380,643]	-		
leuLABCD	[leuLABCD 78,848 &larr; 83,735]	-	leuLp1	[leuLp1 83,735]
ariR	[ariR 1,216,369 &rarr; 1,216,635]	+		
mntH	[mntH 2,511,468 &larr; 2,512,734]	-	mntHp	[mntHp 2,512,734]
fliAZY	[fliAZY 1,999,541 &larr; 2,001,819]	-	fliAp1	[fliAp1 2,001,819]
gltI-sroC-gltJKL	[gltI-sroC-gltJKL 684,530 &larr; 687,777]	-	gltIp2	[gltIp2 NIL &larr; NIL]
recQ	[recQ 4,005,836 &rarr; 4,007,763]	+	recQp	[recQp 4,005,836]
mak	[mak 410,144 &rarr; 411,052]	+		
bamD	[bamD 2,736,006 &rarr; 2,736,883]	+	bamDp1	[bamDp1 2,736,006]
miaA-hfq-hflXKC	[miaA-hfq-hflXKC 4,399,052 &rarr; 4,404,304]	+	miaAp1	[miaAp1 4,399,052]
coaE-zapD-yacG	[coaE-zapD-yacG 111,649 &larr; 113,219]	-		
ndh	[ndh 1,165,869 &rarr; 1,167,389]	+	ndhp	[ndhp 1,165,992]
abpAB	[abpAB 2,761,351 &larr; 2,765,153]	-		
yajG-ampG	[yajG-ampG 452,070 &larr; 454,210]	-	yajGp	[yajGp 454,210]
ydfABC	[ydfABC 1,648,438 &rarr; 1,649,041]	+	ydfAp8	[ydfAp8 1,648,438]
pspF	[pspF 1,366,818 &larr; 1,367,929]	-	pspFp2	[pspFp2 1,367,929]
tcyP	[tcyP 1,810,882 &rarr; 1,812,325]	+	tcyPp	[tcyPp 1,810,882]
alkA	[alkA 2,146,692 &larr; 2,147,559]	-	alkAp	[alkAp 2,147,559]
metK	[metK 3,086,516 &rarr; 3,087,860]	+	metKp2	[metKp2 3,086,577]
yjiT	[yjiT 4,572,384 &rarr; 4,573,931]	+	yjiTp	[yjiTp NIL &rarr; NIL]
eno	[eno 2,906,643 &larr; 2,908,018]	-	enop6	[enop6 2,908,018]
yahK	[yahK 342,884 &rarr; 343,933]	+		
dgcF	[dgcF 1,610,907 &larr; 1,611,854]	-		
modABC	[modABC 794,999 &rarr; 797,612]	+	modAp2	[modAp2 795,062]
adiA	[adiA 4,338,210 &larr; 4,340,556]	-	adiAp	[adiAp 4,340,556]
uhpT	[uhpT 3,845,776 &larr; 3,847,198]	-	uhpTp	[uhpTp 3,847,198]
yjiK	[yjiK 4,562,743 &larr; 4,563,603]	-		
yfhM-pbpC	[yfhM-pbpC 2,645,013 &larr; 2,652,324]	-	yfhMp	[yfhMp 2,652,324]
gspCDEFGHIJKLMO	[gspCDEFGHIJKLMO 3,455,482 &rarr; 3,466,220]	+	gspCp1	[gspCp1 3,455,482]
yncD	[yncD 1,520,963 &larr; 1,523,065]	-		
mqsRA	[mqsRA 3,167,851 &larr; 3,168,562]	-	mqsRp2	[mqsRp2 3,168,562]
yobF-cspC	[yobF-cspC 1,907,226 &larr; 1,907,793]	-	yobFp1	[yobFp1 1,907,793]
ydhB	[ydhB 1,738,866 &larr; 1,739,798]	-		
pbpG	[pbpG 2,223,938 &larr; 2,224,870]	-		
sugE	[sugE 4,376,794 &rarr; 4,377,192]	+	sugEp	[sugEp 4,376,794]
yohF	[yohF 2,226,509 &larr; 2,227,270]	-		
gadW	[gadW 3,663,541 &larr; 3,664,781]	-	gadWp2	[gadWp2 3,664,781]
ldrB	[ldrB 1,269,703 &larr; 1,269,810]	-		
insE3EF3F3	[insE3EF3F3 566,842 &rarr; 568,004]	+		
blc	[blc 4,377,189 &larr; 4,377,745]	-	blcp	[blcp 4,377,745]
ygaM	[ygaM 2,800,121 &rarr; 2,800,475]	+	ygaMp	[ygaMp 2,800,121]
btuB-murI	[btuB-murI 4,163,399 &rarr; 4,166,285]	+	btuBp	[btuBp 4,163,399]
ymgC	[ymgC 1,216,748 &rarr; 1,216,996]	+		
ggt	[ggt 3,585,081 &larr; 3,586,823]	-		
tdk	[tdk 1,293,527 &rarr; 1,294,144]	+		
pstCAB-phoU	[pstCAB-phoU 3,906,853 &larr; 3,910,542]	-	pstCp	[pstCp 3,910,542]
ulaR	[ulaR 4,417,698 &larr; 4,418,453]	-		
hyfABCDEFGHIJR-focB	[hyfABCDEFGHIJR-focB 2,601,010 &rarr; 2,614,782]	+	hyfAp	[hyfAp 2,601,171]
dcyD-tcyLN	[dcyD-tcyLN 1,997,062 &larr; 1,999,508]	-	dcyDp	[dcyDp 1,999,508]
fhuF	[fhuF 4,604,875 &larr; 4,605,694]	-	fhuFp1	[fhuFp1 4,605,694]
kdgK	[kdgK 3,679,419 &rarr; 3,680,348]	+		
rssB	[rssB 1,290,220 &rarr; 1,291,255]	+	rssBp	[rssBp 1,290,220]
ydbK	[ydbK 1,437,260 &larr; 1,440,831]	-	ydbKp	[ydbKp 1,440,831]
lsrACDBFG-tam	[lsrACDBFG-tam 1,601,388 &rarr; 1,608,104]	+	lsrAp	[lsrAp 1,601,460]
ortT	[ortT 1,517,389 &rarr; 1,517,562]	+		
lacZYA	[lacZYA 361,140 &larr; 366,365]	-	lacZp2	[lacZp2 366,365]
nanS	[nanS 4,536,614 &larr; 4,537,594]	-		
rapA-rluA	[rapA-rluA 59,687 &larr; 63,358]	-	rapAp1	[rapAp1 63,358]
ymdAB	[ymdAB 1,105,201 &rarr; 1,106,353]	+	ymdAp	[ymdAp 1,105,201]
mobAB	[mobAB 4,040,906 &larr; 4,042,121]	-	mobAp2	[mobAp2 4,042,121]
psiF	[psiF 403,231 &rarr; 403,601]	+	psiFp	[psiFp 403,231]
rdgB-yggW	[rdgB-yggW 3,096,620 &rarr; 3,098,403]	+	rdgBp	[rdgBp 3,096,620]
htgA	[htgA 10,644 &rarr; 11,315]	+	htgAp1	[htgAp1 10,644]
rcsB	[rcsB 2,315,975 &rarr; 2,316,827]	+	rcsBp2	[rcsBp2 2,315,975]
osmF-yehYXW	[osmF-yehYXW 2,215,745 &larr; 2,219,511]	-	osmFp2	[osmFp2 NIL &larr; NIL]
yecR	[yecR 1,988,145 &rarr; 1,988,545]	+	yecRp	[yecRp 1,988,200]
cecR-ybhGFSR	[cecR-ybhGFSR 825,002 &larr; 830,669]	-	cecRp	[cecRp 830,669]
gadX	[gadX 3,664,915 &larr; 3,665,839]	-	gadXp	[gadXp 3,665,839]
yqhC	[yqhC 3,154,262 &larr; 3,155,218]	-		
thiCEFSGH	[thiCEFSGH 4,190,735 &larr; 4,196,281]	-	thiCp	[thiCp 4,196,281]
ampG	[ampG 452,070 &larr; 453,545]	-		
ymgE	[ymgE 1,244,728 &rarr; 1,244,982]	+		
pfkA	[pfkA 4,107,438 &rarr; 4,108,732]	+	pfkAp2	[pfkAp2 4,107,474]
acpP-fabF	[acpP-fabF 1,151,575 &rarr; 1,153,180]	+	acpPp	[acpPp 1,151,575]
oxc	[oxc 2,490,256 &larr; 2,491,950]	-		
glgBXCAP	[glgBXCAP 3,564,082 &larr; 3,573,657]	-	glgBp	[glgBp 3,573,657]
yjjZ	[yjjZ 4,605,777 &rarr; 4,606,040]	+	yjjZp	[yjjZp 4,605,777]
cutA	[cutA 4,365,018 &larr; 4,365,392]	-	cutAp	[cutAp 4,365,392]
recF	[recF 3,880,148 &larr; 3,881,861]	-	recFp2	[recFp2 3,881,861]
insL3	[insL3 2,514,331 &rarr; 2,515,443]	+		
hfq-hflXKC	[hfq-hflXKC 4,400,258 &rarr; 4,404,304]	+	hfqp1	[hfqp1 NIL &rarr; NIL]
thiI	[thiI 441,468 &rarr; 442,997]	+	thiIp	[thiIp 441,468]
tyrB	[tyrB 4,267,082 &rarr; 4,268,340]	+	tyrBp	[tyrBp 4,267,082]
arfA	[arfA 3,438,431 &larr; 3,438,673]	-	arfAp3	[arfAp3 3,438,673]
csiE	[csiE 2,665,358 &rarr; 2,666,715]	+	csiEp2	[csiEp2 2,665,401]
livKHMGF	[livKHMGF 3,592,724 &larr; 3,597,755]	-	livKp1	[livKp1 3,597,755]
ydhR	[ydhR 1,746,700 &rarr; 1,747,005]	+		
pdeI-dgcI	[pdeI-dgcI 872,979 &rarr; 876,663]	+		
yeeA	[yeeA 2,079,533 &larr; 2,080,591]	-		
sdsN	[sdsN 1,996,880 &rarr; 1,997,057]	+	sdsNp2	[sdsNp2 1,996,880]
rzoD	[rzoD 578,327 &rarr; 578,509]	+		
ryjB	[ryjB 4,527,977 &rarr; 4,528,066]	+	ryjBp	[ryjBp 4,527,977]
tufA	[tufA 3,470,145 &larr; 3,471,583]	-	tufAp2	[tufAp2 3,471,583]
yhiD	[yhiD 3,655,255 &larr; 3,655,902]	-		
ydhIJK	[ydhIJK 1,720,998 &rarr; 1,724,133]	+	ydhIp	[ydhIp 1,720,998]
yejABEF	[yejABEF 2,272,364 &rarr; 2,277,889]	+		
gstA	[gstA 1,714,327 &rarr; 1,714,982]	+	gstAp	[gstAp 1,714,327]
cbrBC	[cbrBC 3,897,506 &rarr; 3,898,609]	+		
gcvR	[gcvR 2,599,806 &rarr; 2,600,478]	+	gcvRp2	[gcvRp2 2,599,806]
yohJK	[yohJK 2,230,509 &rarr; 2,231,714]	+	yohJp	[yohJp 2,230,509]
yicS	[yicS 3,840,215 &rarr; 3,840,508]	+		
frlR	[frlR 3,504,033 &rarr; 3,504,783]	+	frlRp2	[frlRp2 3,504,033]
greB	[greB 3,536,812 &rarr; 3,537,288]	+		
rhsB	[rhsB 3,619,192 &rarr; 3,623,427]	+		
yggN	[yggN 3,100,904 &larr; 3,101,744]	-	yggNp2	[yggNp2 3,101,744]
bsmA	[bsmA 4,416,441 &larr; 4,416,869]	-	bsmAp	[bsmAp 4,416,869]
rdcAB	[rdcAB 4,327,079 &rarr; 4,330,238]	+	rdcAp1	[rdcAp1 4,327,079]
pgk	[pgk 3,071,431 &larr; 3,072,648]	-	pgkp2	[pgkp2 3,072,648]
tsx	[tsx 431,096 &larr; 432,245]	-	tsxp1	[tsxp1 432,245]
miaA-hfq-hflXKC	[miaA-hfq-hflXKC 4,398,982 &rarr; 4,404,304]	+	miaAp2	[miaAp2 4,398,982]
ghrB	[ghrB 3,717,310 &rarr; 3,718,284]	+		
ydbJ	[ydbJ 1,441,029 &rarr; 1,441,324]	+	ydbJp	[ydbJp 1,441,029]
rraA	[rraA 4,118,845 &larr; 4,119,358]	-	rraAp	[rraAp 4,119,358]
lpxM	[lpxM 1,939,222 &larr; 1,940,193]	-		
arcA	[arcA 4,639,539 &larr; 4,640,508]	-	arcAp1	[arcAp1 4,640,508]
mgtA	[mgtA 4,467,280 &rarr; 4,470,321]	+	mgtAp2	[mgtAp2 4,467,280]
ybaE	[ybaE 465,612 &larr; 467,312]	-		
ydeNM	[ydeNM 1,579,633 &larr; 1,582,554]	-	ydeNp	[ydeNp 1,582,554]
fliLMNOPQR	[fliLMNOPQR 2,019,533 &rarr; 2,023,678]	+	fliLp1	[fliLp1 2,019,584]
yihQ	[yihQ 4,067,240 &larr; 4,069,276]	-		
tnaC	[tnaC 3,888,411 &rarr; 3,888,509]	+	tnaCp	[tnaCp 3,888,411]
pgpB	[pgpB 1,339,309 &rarr; 1,340,094]	+	pgpBp	[pgpBp 1,339,309]
bcsQ	[bcsQ 3,695,233 &larr; 3,695,985]	-		
yifB	[yifB 3,948,449 &larr; 3,949,969]	-		
mnt-btuF-yadS	[mnt-btuF-yadS 177,001 &larr; 179,183]	-	mtnp	[mtnp 179,183]
araFGH	[araFGH 1,982,554 &larr; 1,986,238]	-	araFp1	[araFp1 1,986,238]
xseB-ispA-dxs-yajO	[xseB-ispA-dxs-yajO 437,161 &larr; 441,373]	-	xseBp	[xseBp 441,373]
can	[can 142,008 &larr; 142,703]	-	canp2	[canp2 142,703]
hcxB	[hcxB 836,351 &rarr; 837,436]	+		
araJ	[araJ 411,297 &larr; 412,529]	-	araJp	[araJp 412,529]
ybhM	[ybhM 820,793 &rarr; 821,506]	+		
htrL	[htrL 3,792,826 &larr; 3,793,683]	-		
xylR	[xylR 3,734,906 &rarr; 3,736,157]	+	xylRp	[xylRp 3,734,906]
lhr	[lhr 1,728,353 &rarr; 1,733,740]	+	lhrp	[lhrp 1,728,353]
ynjH	[ynjH 1,841,863 &larr; 1,842,163]	-	ynjHp1	[ynjHp1 1,842,163]
otsBA	[otsBA 1,980,096 &larr; 1,982,465]	-	otsBp1	[otsBp1 1,982,465]
yaaI	[yaaI 11,382 &larr; 11,786]	-		
yedN	[yedN 2,011,223 &larr; 2,012,351]	-		
lgoR	[lgoR 4,594,937 &larr; 4,595,947]	-	lgoRp4	[lgoRp4 4,595,947]
metY	[metY 3,318,031 &larr; 3,318,297]	-	metYp1	[metYp1 3,318,297]
srmB	[srmB 2,712,896 &rarr; 2,714,230]	+		
pepQ-yigZ-trkH-hemG	[pepQ-yigZ-trkH-hemG 4,031,147 &rarr; 4,035,153]	+	pepQp	[pepQp 4,031,147]
sdsR-pphA	[sdsR-pphA 1,922,313 &larr; 1,923,385]	-	pphAp	[pphAp 1,923,385]
metA	[metA 4,214,233 &rarr; 4,215,209]	+	metAp1	[metAp1 4,214,233]
yjbI	[yjbI 4,250,703 &rarr; 4,252,283]	+		
gntRKU	[gntRKU 3,575,688 &larr; 3,578,726]	-		
tyrR	[tyrR 1,386,596 &rarr; 1,388,301]	+	tyrRp	[tyrRp 1,386,692]
yfdE	[yfdE 2,488,023 &larr; 2,489,168]	-		
grpE	[grpE 2,750,115 &larr; 2,750,747]	-	grpEp	[grpEp 2,750,747]
digH	[digH 1,567,504 &larr; 1,568,823]	-		
ybdJ	[ybdJ 605,951 &larr; 606,199]	-		
ldtC	[ldtC 1,169,412 &larr; 1,170,417]	-	ldtCp	[ldtCp 1,170,417]
ravA-viaA	[ravA-viaA 3,928,152 &larr; 3,931,128]	-	ravAp	[ravAp 3,931,128]
ansP	[ansP 1,524,481 &larr; 1,526,011]	-	ansPp1	[ansPp1 1,526,011]
yffQR	[yffQR 2,563,592 &rarr; 2,564,372]	+		
yhiJ	[yhiJ 3,630,968 &larr; 3,632,590]	-		
sgcXBCQAER	[sgcXBCQAER 4,526,106 &larr; 4,531,651]	-		
csgDEFG	[csgDEFG 1,100,851 &larr; 1,103,335]	-	csgDp2	[csgDp2 1,103,335]
ygeI	[ygeI 2,993,638 &rarr; 2,993,856]	+		
