Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter	Genes of transcription unit
ycjXF	[ycjXF 1,384,117 &rarr; 1,386,572]	+			ycjF // ycjX
rfbACX	[rfbACX 2,108,337 &larr; 2,111,049]	-	rfbAp	[rfbAp NIL &larr; NIL]	rfbX // rfbC // rfbA
ycaN	[ycaN 948,660 &larr; 949,568]	-			ycaN
ssnA	[ssnA 3,018,950 &rarr; 3,020,522]	+	ssnAp	[ssnAp 3,018,950]	ssnA
holE	[holE 1,925,108 &rarr; 1,925,338]	+			holE
mqsA	[mqsA 3,167,851 &larr; 3,168,286]	-	mqsAp1	[mqsAp1 3,168,286]	mqsA
torYZ	[torYZ 1,954,578 &larr; 1,958,132]	-			torZ // torY
cysZ	[cysZ 2,531,463 &rarr; 2,532,224]	+			cysZ
mntR-ybiR	[mntR-ybiR 853,098 &rarr; 854,765]	+	mntRp	[mntRp 853,098]	ybiR // mntR
ybeT	[ybeT 678,852 &larr; 679,406]	-			ybeT
dcm-vsr	[dcm-vsr 2,030,448 &larr; 2,032,317]	-			vsr // dcm
crcB	[crcB 657,555 &larr; 657,938]	-			crcB
hemB	[hemB 388,753 &larr; 389,754]	-	hemBp	[hemBp 389,754]	hemB
yjfP	[yjfP 4,416,952 &rarr; 4,417,701]	+			yjfP
ykgL	[ykgL 312,112 &rarr; 312,339]	+			ykgL
galET	[galET 789,840 &larr; 792,081]	-	galEp1	[galEp1 792,081]	galT // galE
yliM-ompX	[yliM-ompX 850,209 &rarr; 851,009]	+	yliMp	[yliMp 850,209]	yliM // ompX
ydaM	[ydaM 1,406,563 &larr; 1,407,795]	-			dgcM
ydeI	[ydeI 1,624,105 &larr; 1,624,559]	-	ydeIp5	[ydeIp5 1,624,559]	ydeI
ygdG	[ygdG 2,931,055 &rarr; 2,931,810]	+			ygdG
pqiABC	[pqiABC 1,011,659 &rarr; 1,015,459]	+	pqiAp2	[pqiAp2 1,011,659]	pqiC // pqiB // pqiA
dppBCDF	[dppBCDF 3,701,864 &larr; 3,705,790]	-			dppF // dppD // dppC // dppB
cysE	[cysE 3,781,741 &larr; 3,782,681]	-	cysEp	[cysEp 3,782,681]	cysE
rrsC-gltU-rrlC-rrfC	[rrsC-gltU-rrlC-rrfC 3,941,633 &rarr; 3,947,067]	+	rrsCp2	[rrsCp2 3,941,633]	rrfC // rrlC // gltU // rrsC
yehE	[yehE 2,192,515 &larr; 2,192,796]	-			yehE
elaA	[elaA 2,381,082 &larr; 2,381,543]	-			elaA
yegTUV	[yegTUV 2,178,781 &rarr; 2,182,061]	+	yegTp	[yegTp 2,178,781]	yegV // yegU // yegT
ibpAB	[ibpAB 3,866,469 &larr; 3,867,518]	-	ibpAp	[ibpAp 3,867,518]	ibpB // ibpA
ydhQ	[ydhQ 1,744,871 &larr; 1,746,202]	-	ydhQp	[ydhQp 1,746,202]	ydhQ
yobH	[yobH 1,908,925 &rarr; 1,909,164]	+			yobH
yntF-ydfK	[yntF-ydfK 1,632,723 &rarr; 1,633,305]	+	ynfTp	[ynfTp 1,632,723]	ynfT // ydfK
pstCAB-phoU	[pstCAB-phoU 3,906,853 &larr; 3,910,542]	-	pstCp	[pstCp 3,910,542]	phoU // pstB // pstA // pstC
ascFB	[ascFB 2,839,356 &rarr; 2,842,414]	+	ascFp	[ascFp 2,839,429]	ascF // ascB
gmhB	[gmhB 222,806 &rarr; 223,408]	+	gmhBp	[gmhBp 222,806]	gmhB
yncD	[yncD 1,520,963 &larr; 1,523,065]	-			pqqU
dolP	[dolP 3,296,072 &rarr; 3,296,984]	+	dolPp2	[dolPp2 3,296,072]	dolP
yicS	[yicS 3,840,215 &rarr; 3,840,508]	+			yicS
rssB	[rssB 1,290,220 &rarr; 1,291,255]	+	rssBp	[rssBp 1,290,220]	rssB
istR-2	[istR-2 3,853,118 &larr; 3,853,257]	-	istR-2p	[istR-2p 3,853,257]	istR
infC	[infC 1,800,035 &larr; 1,801,346]	-	infCp1	[infCp1 1,801,346]	infC
nadK	[nadK 2,750,831 &rarr; 2,751,709]	+			nadK
pspF	[pspF 1,366,818 &larr; 1,367,929]	-	pspFp2	[pspFp2 1,367,929]	pspF
yfbU-hxpA	[yfbU-hxpA 2,411,439 &larr; 2,412,594]	-	yfbUp	[yfbUp 2,412,594]	yfbU // hxpA
fldB	[fldB 3,039,773 &rarr; 3,040,376]	+	fldBp	[fldBp 3,039,822]	fldB
yjcH-actP	[yjcH-actP 4,283,253 &larr; 4,285,213]	-			actP // yjcH
yraR	[yraR 3,298,211 &larr; 3,298,897]	-	yraRp	[yraRp 3,298,897]	yraR
guaBA	[guaBA 2,630,906 &larr; 2,634,107]	-	guaBp	[guaBp 2,634,107]	guaA // guaB
qorA	[qorA 4,263,248 &larr; 4,264,304]	-	qorAp	[qorAp 4,264,304]	qorA
yqjA-mzrA	[yqjA-mzrA 3,247,643 &rarr; 3,248,822]	+	yqjAp2	[yqjAp2 3,247,643]	mzrA // yqjA
rnlA	[rnlA 2,765,906 &rarr; 2,766,991]	+	rnlAp1	[rnlAp1 2,765,906]	rnlA
thiI	[thiI 441,468 &rarr; 442,997]	+	thiIp	[thiIp 441,468]	thiI
alaC	[alaC 2,497,057 &larr; 2,498,399]	-	alaCp	[alaCp 2,498,399]	alaC
cecR-ybhGFSR	[cecR-ybhGFSR 825,002 &larr; 830,669]	-	cecRp	[cecRp 830,669]	cecR // ybhG // ybhF // ybhS // ybhR
patA	[patA 3,219,202 &rarr; 3,220,873]	+	patAp	[patAp 3,219,458]	patA
gstA	[gstA 1,714,327 &rarr; 1,714,982]	+	gstAp	[gstAp 1,714,327]	gstA
amiA-hemF	[amiA-hemF 2,552,241 &rarr; 2,554,124]	+	amiAp	[amiAp 2,552,241]	hemF // amiA
leuLABCD	[leuLABCD 78,848 &larr; 83,735]	-	leuLp1	[leuLp1 83,735]	leuD // leuC // leuB // leuA // leuL
yafL	[yafL 246,712 &rarr; 247,461]	+			yafL
yeaVW	[yeaVW 1,883,188 &rarr; 1,885,789]	+			yeaW // yeaV
csiE	[csiE 2,665,358 &rarr; 2,666,715]	+	csiEp2	[csiEp2 2,665,401]	csiE
malT	[malT 3,552,953 &rarr; 3,555,820]	+	malTp	[malTp 3,553,024]	malT
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	[ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 91,012 &rarr; 107,474]	+	ftsLp2	[ftsLp2 91,012]	lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL
yeeA	[yeeA 2,079,533 &larr; 2,080,591]	-			yeeA
dpiBA	[dpiBA 651,984 &rarr; 654,542]	+	dpiBp1	[dpiBp1 651,984]	dpiA // dpiB
hyfABCDEFGHIJR-focB	[hyfABCDEFGHIJR-focB 2,601,010 &rarr; 2,614,782]	+	hyfAp	[hyfAp 2,601,171]	focB // hyfR // hyfJ // hyfI // hyfH // hyfG // hyfF // hyfE // hyfD // hyfC // hyfB // hyfA
mtr	[mtr 3,304,573 &larr; 3,305,860]	-	mtrp2	[mtrp2 3,305,860]	mtr
ravA-viaA	[ravA-viaA 3,928,152 &larr; 3,931,128]	-	ravAp	[ravAp 3,931,128]	ravA // viaA
pdxH-tyrS-pdxY	[pdxH-tyrS-pdxY 1,715,026 &larr; 1,718,034]	-	pdxHp	[pdxHp 1,718,034]	pdxY // tyrS // pdxH
yfbP	[yfbP 2,389,116 &rarr; 2,389,964]	+			yfbP
yifB	[yifB 3,948,449 &larr; 3,949,969]	-			yifB
ushA	[ushA 504,914 &rarr; 506,566]	+			ushA
yhjA	[yhjA 3,667,791 &larr; 3,669,261]	-	yhjAp	[yhjAp 3,669,261]	ccp
ytfK	[ytfK 4,439,511 &rarr; 4,439,793]	+	ytfKp1	[ytfKp1 4,439,511]	ytfK
ydfABC	[ydfABC 1,648,438 &rarr; 1,649,041]	+	ydfAp8	[ydfAp8 1,648,438]	ydfC // ydfB // ydfA
menFD-yfbB-menBCE	[menFD-yfbB-menBCE 2,373,648 &larr; 2,380,643]	-			menE // menC // menB // menH // menD // menF
pdeK	[pdeK 3,683,630 &larr; 3,685,618]	-			pdeK
bamD	[bamD 2,736,006 &rarr; 2,736,883]	+	bamDp1	[bamDp1 2,736,006]	bamD
iraM	[iraM 1,211,680 &larr; 1,212,123]	-	iraMp2	[iraMp2 1,212,123]	iraM
relA-mazEF	[relA-mazEF 2,910,756 &larr; 2,913,829]	-	relAp1	[relAp1 2,913,829]	mazF // mazE // relA
miaA-hfq-hflXKC	[miaA-hfq-hflXKC 4,399,052 &rarr; 4,404,304]	+	miaAp1	[miaAp1 4,399,052]	hflC // hflK // hflX // hfq // miaA
ycaK	[ycaK 949,668 &rarr; 950,258]	+			ycaK
argR	[argR 3,384,649 &rarr; 3,385,173]	+	argRp1	[argRp1 3,384,677]	argR
tufA	[tufA 3,470,145 &larr; 3,471,583]	-	tufAp2	[tufAp2 3,471,583]	tufA
yciZT	[yciZT 1,343,597 &larr; 1,344,638]	-	yciZp	[yciZp 1,344,638]	yciZ // yciT
queG	[queG 4,392,928 &larr; 4,394,092]	-	queGp	[queGp 4,394,092]	queG
kduI	[kduI 2,983,288 &larr; 2,984,124]	-			kduI
rzoD	[rzoD 578,327 &rarr; 578,509]	+			rzoD
ynjH	[ynjH 1,841,863 &larr; 1,842,163]	-	ynjHp1	[ynjHp1 1,842,163]	ynjH
uacT	[uacT 3,031,367 &rarr; 3,032,815]	+			uacT
mgtA	[mgtA 4,467,280 &rarr; 4,470,321]	+	mgtAp2	[mgtAp2 4,467,280]	mgtL // mgtA
ykfJ-prfH	[ykfJ-prfH 253,467 &rarr; 254,202]	+			prfH // ykfJ
can	[can 142,008 &larr; 142,703]	-	canp2	[canp2 142,703]	can
dcyD-tcyLN	[dcyD-tcyLN 1,997,062 &larr; 1,999,508]	-	dcyDp	[dcyDp 1,999,508]	dcyD // tcyL // tcyN
gltI-sroC-gltJKL	[gltI-sroC-gltJKL 684,530 &larr; 687,777]	-	gltIp2	[gltIp2 NIL &larr; NIL]	gltL // gltK // gltJ // sroC // gltI
yfhM-pbpC	[yfhM-pbpC 2,645,013 &larr; 2,652,324]	-	yfhMp	[yfhMp 2,652,324]	yfhM // pbpC
rpoE-rseABC	[rpoE-rseABC 2,707,322 &larr; 2,710,087]	-	rpoEp2a	[rpoEp2a 2,710,087]	rseC // rseB // rseA // rpoE
rlmG	[rlmG 3,234,739 &larr; 3,235,875]	-			rlmG
nhaAR	[nhaAR 17,414 &rarr; 19,620]	+	nhaAp1	[nhaAp1 17,458]	nhaR // nhaA
insH-8	[insH-8 2,289,065 &larr; 2,290,045]	-			insH8
rdlC	[rdlC 1,270,393 &rarr; 1,270,460]	+			rdlC
yqhD-dkgA	[yqhD-dkgA 3,155,302 &rarr; 3,157,450]	+	yqhDp	[yqhDp 3,155,302]	dkgA // yqhD
aroP	[aroP 120,144 &larr; 121,650]	-	aroPp2	[aroPp2 121,650]	aroP
gntP	[gntP 4,549,922 &larr; 4,551,334]	-	gntPp	[gntPp 4,551,334]	gntP
ydeNM	[ydeNM 1,579,633 &larr; 1,582,554]	-	ydeNp	[ydeNp 1,582,554]	ydeM // ydeN
yiaA	[yiaA 3,726,924 &larr; 3,727,391]	-	yiaAp	[yiaAp NIL &larr; NIL]	yiaA
zraP	[zraP 4,201,263 &larr; 4,201,712]	-	zraPp	[zraPp 4,201,712]	zraP
yqjCDEK	[yqjCDEK 3,248,969 &rarr; 3,250,376]	+			yqjK // yqjE // yqjD // yqjC
pykF	[pykF 1,755,600 &rarr; 1,757,110]	+	pykFp2	[pykFp2 1,755,600]	pykF
rapA-rluA	[rapA-rluA 59,687 &larr; 63,358]	-	rapAp1	[rapAp1 63,358]	rluA // rapA
hfq-hflXKC	[hfq-hflXKC 4,400,220 &rarr; 4,404,304]	+	hfqp3	[hfqp3 4,400,220]	hflC // hflK // hflX // hfq
livKHMGF	[livKHMGF 3,592,724 &larr; 3,597,755]	-	livKp1	[livKp1 3,597,755]	livF // livG // livM // livH // livK
emtA	[emtA 1,243,180 &rarr; 1,243,791]	+			emtA
yaeH	[yaeH 183,709 &larr; 184,095]	-			yaeH
fliAZY	[fliAZY 1,999,541 &larr; 2,001,819]	-	fliAp1	[fliAp1 2,001,819]	tcyJ // fliZ // fliA
csgDEFG	[csgDEFG 1,100,851 &larr; 1,103,335]	-	csgDp2	[csgDp2 1,103,335]	csgG // csgF // csgE // csgD
opgB	[opgB 4,597,150 &larr; 4,599,441]	-			opgB
ycgM	[ycgM 1,228,079 &rarr; 1,228,738]	+			ycgM
rne	[rne 1,141,182 &larr; 1,144,762]	-	rnep2	[rnep2 1,144,762]	rne
ycbJ	[ycbJ 971,672 &rarr; 972,645]	+	ycbJp	[ycbJp 971,672]	ycbJ
metA	[metA 4,214,233 &rarr; 4,215,209]	+	metAp1	[metAp1 4,214,233]	metA
rpsU-dnaG-rpoD	[rpsU-dnaG-rpoD 3,210,712 &rarr; 3,214,962]	+	rpsUp2	[rpsUp2 3,210,712]	rpsU // dnaG // rpoD
purL	[purL 2,691,656 &larr; 2,695,589]	-	purLp	[purLp 2,695,589]	purL
xtpA	[xtpA 345,252 &rarr; 345,434]	+	xtpAp	[xtpAp 345,252]	xtpA
htrL	[htrL 3,792,826 &larr; 3,793,683]	-			htrL
pgk	[pgk 3,071,431 &larr; 3,072,648]	-	pgkp2	[pgkp2 3,072,648]	pgk
bipA	[bipA 4,058,407 &rarr; 4,060,230]	+			bipA
yggN	[yggN 3,100,904 &larr; 3,101,798]	-	yggNp1	[yggNp1 3,101,798]	yggN
gcvR	[gcvR 2,599,806 &rarr; 2,600,478]	+	gcvRp2	[gcvRp2 2,599,806]	gcvR
ryjB	[ryjB 4,527,977 &rarr; 4,528,066]	+	ryjBp	[ryjBp 4,527,977]	ryjB
ampH	[ampH 395,130 &larr; 396,319]	-	ampHp2	[ampHp2 396,319]	ampH
yfGM	[yfGM 2,638,663 &larr; 2,639,370]	-	yfgMp3	[yfgMp3 2,639,370]	yfgM
yohF	[yohF 2,226,509 &larr; 2,227,270]	-			yohF
ybdD	[ybdD 632,182 &rarr; 632,379]	+			ybdD
frwD	[frwD 4,147,138 &rarr; 4,147,479]	+			frwD
folX-yfcH	[folX-yfcH 2,421,295 &rarr; 2,422,601]	+	folXp	[folXp NIL &rarr; NIL]	yfcH // folX
yaiP	[yaiP 382,739 &larr; 383,935]	-			yaiP
plsB	[plsB 4,254,043 &larr; 4,256,502]	-	plsBp2	[plsBp2 4,256,502]	plsB
puuDRCBE	[puuDRCBE 1,361,052 &rarr; 1,366,815]	+	puuDp	[puuDp 1,361,052]	puuE // puuB // puuC // puuR // puuD
fliLMNOPQR	[fliLMNOPQR 2,019,533 &rarr; 2,023,678]	+	fliLp1	[fliLp1 2,019,584]	fliL // fliM // fliN // fliO // fliP // fliQ // fliR
ibpB	[ibpB 3,866,469 &larr; 3,866,981]	-	ibpBp	[ibpBp 3,866,981]	ibpB
clcA	[clcA 175,107 &rarr; 176,528]	+			clcA
acrR	[acrR 485,699 &rarr; 486,408]	+	acrRp	[acrRp 485,699]	acrR
rpoE-rseABC	[rpoE-rseABC 2,707,322 &larr; 2,710,393]	-	rpoEp1b	[rpoEp1b 2,710,393]	rseD // rseC // rseB // rseA // rpoE
trpL	[trpL 1,322,975 &larr; 1,323,108]	-	trpLp	[trpLp 1,323,108]	trpL
ispB	[ispB 3,333,710 &rarr; 3,334,681]	+			ispB
proVWX	[proVWX 2,804,563 &rarr; 2,808,124]	+	proVp1	[proVp1 2,804,563]	proX // proW // proV
proP	[proP 4,330,285 &rarr; 4,332,004]	+	proPp1	[proPp1 4,330,320]	proP
ldtC	[ldtC 1,169,412 &larr; 1,170,417]	-	ldtCp	[ldtCp 1,170,417]	ldtC
tdcR	[tdcR 3,267,380 &rarr; 3,267,598]	+			tdcR
yagJ	[yagJ 291,500 &rarr; 292,231]	+			yagJ
ymgE	[ymgE 1,244,728 &rarr; 1,244,982]	+			ymgE
ymjC-mpaA	[ymjC-mpaA 1,389,870 &larr; 1,390,862]	-			ymjC // mpaA
mngR	[mngR 765,104 &larr; 765,926]	-	mngRp	[mngRp 765,926]	mngR
digH	[digH 1,567,504 &larr; 1,568,823]	-			digH
purHD	[purHD 4,204,642 &larr; 4,207,627]	-	purHp	[purHp 4,207,627]	purD // purH
asnV	[asnV 2,062,252 &rarr; 2,062,335]	+	asnVp	[asnVp 2,062,252]	asnV
rhsB	[rhsB 3,619,192 &rarr; 3,623,427]	+			rhsB
serA	[serA 3,057,178 &larr; 3,058,549]	-	serAp2	[serAp2 3,058,549]	serA
wbbIJK	[wbbIJK 2,103,391 &larr; 2,106,057]	-			wbbK // wbbJ // wbbI
tyrV-tpr	[tyrV-tpr 1,287,009 &larr; 1,287,358]	-	tyrVp	[tyrVp NIL &larr; NIL]	tpr // tyrV
yeaY	[yeaY 1,889,951 &larr; 1,890,561]	-	yeaYp	[yeaYp 1,890,561]	yeaY
yneL	[yneL 1,590,334 &larr; 1,590,536]	-			yneL
aspS	[aspS 1,948,662 &larr; 1,950,701]	-	aspSp1	[aspSp1 1,950,701]	aspS
pppA	[pppA 3,113,543 &larr; 3,114,352]	-			pppA
yibJ	[yibJ 3,767,221 &rarr; 3,767,922]	+			yibJ
pgi	[pgi 4,233,722 &rarr; 4,235,407]	+	pgip2	[pgip2 4,233,722]	pgi
yrbG-kdsD	[yrbG-kdsD 3,340,211 &rarr; 3,342,252]	+	yrbGp	[yrbGp 3,340,211]	kdsD // yrbG
yecDE	[yecDE 1,950,832 &rarr; 1,952,213]	+			yecE // yecD
yhiJ	[yhiJ 3,630,968 &larr; 3,632,590]	-			yhiJ
pldB-yigL	[pldB-yigL 4,009,170 &rarr; 4,011,000]	+			yigL // pldB
uspF	[uspF 1,435,185 &larr; 1,435,641]	-	uspFp	[uspFp 1,435,641]	uspF
ydiQRST-fadK	[ydiQRST-fadK 1,779,617 &rarr; 1,784,677]	+			fadK // ydiT // ydiS // ydiR // ydiQ
mdoGH	[mdoGH 1,109,278 &rarr; 1,113,560]	+	opgGp1	[opgGp1 1,109,278]	opgG // opgH
ybfA	[ybfA 729,134 &rarr; 729,340]	+			ybfA
yfdE	[yfdE 2,488,023 &larr; 2,489,168]	-			yfdE
deoABD	[deoABD 4,618,199 &rarr; 4,621,602]	+	deoAp	[deoAp NIL &rarr; NIL]	deoD // deoB // deoA
bssS	[bssS 1,120,701 &larr; 1,121,020]	-	bssSp	[bssSp 1,121,020]	bssS
pyrSR-ypdC	[pyrSR-ypdC 2,498,671 &rarr; 2,501,987]	+			ypdC // pyrR // pyrS
bcsQ	[bcsQ 3,695,233 &larr; 3,695,985]	-			bcsQ
yehHI	[yehHI 2,197,410 &rarr; 2,203,911]	+			yehH // yehI
pbpG	[pbpG 2,223,938 &larr; 2,224,870]	-			pbpG
yhiD	[yhiD 3,655,255 &larr; 3,655,902]	-			yhiD
aslA	[aslA 3,984,352 &larr; 3,986,007]	-			aslA
ppc	[ppc 4,150,447 &larr; 4,153,190]	-	ppcp	[ppcp 4,153,190]	ppc
kptA	[kptA 4,560,930 &rarr; 4,561,484]	+			kptA
acs-yjcHG	[acs-yjcHG 4,283,253 &larr; 4,287,391]	-	acsp	[acsp 4,287,391]	actP // yjcH // acs
csgBAC	[csgBAC 1,103,821 &rarr; 1,105,293]	+	csgBp2	[csgBp2 1,103,859]	csgC // csgB // csgA
cpxRA	[cpxRA 4,103,602 &larr; 4,105,686]	-	cpxRp	[cpxRp 4,105,686]	cpxA // cpxR
recET-ralR-rcbA-xisR-intR	[recET-ralR-rcbA-xisR-intR 1,412,000 &larr; 1,417,386]	-			recE // recT // ralR // rcbA // xisR // intR
kdgK	[kdgK 3,679,419 &rarr; 3,680,348]	+			kdgK
accA	[accA 208,326 &rarr; 209,580]	+	accAp2	[accAp2 208,326]	accA
dgcF	[dgcF 1,610,907 &larr; 1,611,854]	-			dgcF
uvrA	[uvrA 4,271,007 &larr; 4,273,936]	-	uvrAp	[uvrAp 4,273,936]	uvrA
xapB	[xapB 2,522,698 &larr; 2,524,375]	-	xapBp3	[xapBp3 2,524,375]	xapB
lysU	[lysU 4,353,200 &larr; 4,354,805]	-	lysUp1	[lysUp1 4,354,805]	lysU
tyrB	[tyrB 4,267,082 &rarr; 4,268,340]	+	tyrBp	[tyrBp 4,267,082]	tyrB
ydbJ	[ydbJ 1,441,029 &rarr; 1,441,324]	+	ydbJp	[ydbJp 1,441,029]	ydbJ
yicR-rpmBG	[yicR-rpmBG 3,811,209 &larr; 3,812,577]	-	yicRp	[yicRp 3,812,577]	rpmG // rpmB // yicR
yfbR	[yfbR 2,408,831 &rarr; 2,409,461]	+	yfbRp3	[yfbRp3 2,408,831]	yfbR
sdhE-ygfX	[sdhE-ygfX 3,040,416 &larr; 3,041,099]	-	sdhEp	[sdhEp 3,041,099]	sdhE // ygfX
torI	[torI 2,476,310 &rarr; 2,476,510]	+			torI
yedN	[yedN 2,011,223 &larr; 2,012,351]	-			yedN
fnrS	[fnrS 1,409,129 &rarr; 1,409,250]	+	fnrSp	[fnrSp 1,409,129]	fnrS
pepQ-yigZ-trkH-hemG	[pepQ-yigZ-trkH-hemG 4,031,147 &rarr; 4,035,153]	+	pepQp	[pepQp 4,031,147]	hemG // trkH // yigZ // pepQ
yghG	[yghG 3,113,067 &larr; 3,113,477]	-			yghG
yacC-speED	[yacC-speED 134,756 &larr; 136,940]	-	yacCp	[yacCp 136,940]	yacC // speD // speE
yjcS	[yjcS 4,304,612 &larr; 4,306,627]	-	yjcSp	[yjcSp NIL &larr; NIL]	yjcS
grpE	[grpE 2,750,115 &larr; 2,750,747]	-	grpEp	[grpEp 2,750,747]	grpE
gntRKU	[gntRKU 3,575,688 &larr; 3,578,726]	-			gntU // gntK // gntR
ygaM	[ygaM 2,800,121 &rarr; 2,800,475]	+	ygaMp	[ygaMp 2,800,121]	ygaM
ybhC	[ybhC 805,998 &larr; 807,321]	-	ybhCp	[ybhCp 807,321]	ybhC
cpxPQ	[cpxPQ 4,105,733 &rarr; 4,106,387]	+	cpxPp	[cpxPp 4,105,785]	cpxQ // cpxP
ansP	[ansP 1,524,481 &larr; 1,526,011]	-	ansPp1	[ansPp1 1,526,011]	ansP
gltX	[gltX 2,519,208 &larr; 2,520,776]	-	gltXp2	[gltXp2 2,520,776]	gltX
ygdQ	[ygdQ 2,970,420 &rarr; 2,971,133]	+			ygdQ
ynfA	[ynfA 1,655,347 &larr; 1,655,673]	-			ynfA
psiF	[psiF 403,231 &rarr; 403,601]	+	psiFp	[psiFp 403,231]	psiF
uhpT	[uhpT 3,845,776 &larr; 3,847,198]	-	uhpTp	[uhpTp 3,847,198]	uhpT
xerD	[xerD 3,038,847 &larr; 3,039,743]	-			xerD
yhfG-fic-pabA	[yhfG-fic-pabA 3,490,266 &larr; 3,491,648]	-	yhfGp	[yhfGp 3,491,648]	pabA // fic // yhfG
sdsN	[sdsN 1,996,880 &rarr; 1,997,057]	+	sdsNp2	[sdsNp2 1,996,880]	sdsN
fkpA	[fkpA 3,476,607 &larr; 3,477,499]	-	fkpAp2	[fkpAp2 3,477,499]	fkpA
ribF-ileS-lspA-fkpB-ispH	[ribF-ileS-lspA-fkpB-ispH 21,383 &rarr; 27,279]	+	ribFp	[ribFp 21,383]	ribF // ileS // lspA // fkpB // ispH
relA-mazEF	[relA-mazEF 2,910,756 &larr; 2,914,277]	-	relAp2	[relAp2 2,914,277]	mazF // mazE // relA
ubiF	[ubiF 695,101 &rarr; 696,276]	+			ubiF
yeeJ	[yeeJ 2,044,938 &rarr; 2,052,014]	+			yeeJ
yhdWXYZ	[yhdWXYZ 3,418,846 &rarr; 3,423,194]	+	yhdWp	[yhdWp 3,418,972]	yhdZ // yhdY // yhdX // yhdW
kch	[kch 1,309,016 &larr; 1,310,269]	-			kch
ymgC	[ymgC 1,216,748 &rarr; 1,216,996]	+			ymgC
nimT	[nimT 1,875,657 &rarr; 1,876,854]	+	nimTp	[nimTp 1,875,657]	nimT
tdk	[tdk 1,293,527 &rarr; 1,294,144]	+			tdk
rirA-rfaQGPSBIJYZ-waaU	[rirA-rfaQGPSBIJYZ-waaU 3,798,239 &larr; 3,808,238]	-	rirAp	[rirAp 3,808,238]	rirA // waaU // waaZ // waaY // waaJ // waaO // waaB // waaS // waaP // waaG // waaQ
pyrH	[pyrH 191,812 &rarr; 192,580]	+	pyrHp	[pyrHp 191,812]	pyrH
mqsRA	[mqsRA 3,167,851 &larr; 3,168,562]	-	mqsRp2	[mqsRp2 3,168,562]	mqsA // mqsR
chaBC	[chaBC 1,272,119 &rarr; 1,273,202]	+			chaB // chaC
feoABC	[feoABC 3,539,966 &rarr; 3,542,964]	+	feoAp	[feoAp 3,540,057]	feoC // feoA // feoB
ydjF	[ydjF 1,854,096 &larr; 1,854,854]	-			ydjF
insE3EF3F3	[insE3EF3F3 566,842 &rarr; 568,004]	+			insF3 // insE3 // insEF3
acpP-fabF	[acpP-fabF 1,151,575 &rarr; 1,153,180]	+	acpPp	[acpPp 1,151,575]	fabF // acpP
adiA	[adiA 4,338,210 &larr; 4,340,556]	-	adiAp	[adiAp 4,340,556]	adiA
ydfUT	[ydfUT 1,642,489 &larr; 1,644,304]	-			ydfU // ydfT
yjhD	[yjhD 4,506,626 &larr; 4,506,856]	-			yjhD
ohsC	[ohsC 2,700,518 &rarr; 2,700,598]	+	ohsCp	[ohsCp 2,700,518]	ohsC
yeiH	[yeiH 2,249,717 &rarr; 2,250,766]	+			yeiH
dgt	[dgt 179,214 &rarr; 180,754]	+	dgtp2	[dgtp2 179,214]	dgt
pdeI-dgcI	[pdeI-dgcI 872,979 &rarr; 876,663]	+			dgcI // pdeI
tsgA	[tsgA 3,492,519 &rarr; 3,493,749]	+	tsgAp	[tsgAp 3,492,519]	tsgA
ppsR	[ppsR 1,787,445 &rarr; 1,788,278]	+			ppsR
ykfA-yafZ	[ykfA-yafZ 267,184 &larr; 268,960]	-			ykfA // yafZ
lacZYA	[lacZYA 361,140 &larr; 366,365]	-	lacZp2	[lacZp2 366,365]	lacA // lacY // lacZ
hycABCDEFGHI	[hycABCDEFGHI 2,842,477 &larr; 2,850,461]	-	hycAp	[hycAp 2,850,461]	hycI // hycH // hycG // hycF // hycE // hycD // hycC // hycB // hycA
smf	[smf 3,432,436 &larr; 3,433,686]	-	smfp	[smfp 3,433,686]	smf
carAB	[carAB 29,246 &rarr; 34,120]	+	carAp1	[carAp1 29,551]	carA // carB
ghrB	[ghrB 3,717,310 &rarr; 3,718,284]	+			ghrB
araFGH	[araFGH 1,982,554 &larr; 1,986,238]	-	araFp1	[araFp1 1,986,238]	araH // araG // araF
sroG-ribB	[sroG-ribB 3,183,813 &larr; 3,184,718]	-	ribBp	[ribBp 3,184,718]	sroG // ribB
frdABCD	[frdABCD 4,378,966 &larr; 4,382,412]	-	frdAp2	[frdAp2 4,382,412]	frdD // frdC // frdB // frdA
aegA	[aegA 2,583,546 &larr; 2,585,525]	-			aegA
hupB	[hupB 461,187 &rarr; 461,778]	+	hupBp3	[hupBp3 461,332]	hupB
rpoD	[rpoD 3,212,637 &rarr; 3,214,962]	+	rpoDp2	[rpoDp2 3,212,637]	rpoD
kgtP	[kgtP 2,724,448 &larr; 2,725,746]	-			kgtP
pdeN	[pdeN 2,270,726 &rarr; 2,272,282]	+			pdeN
ydhL	[ydhL 1,725,681 &larr; 1,725,920]	-			ydhL
gltP	[gltP 4,294,481 &rarr; 4,295,794]	+			gltP
shoB	[shoB 2,700,117 &larr; 2,700,291]	-	shoBp	[shoBp 2,700,291]	shoB
